Hugo Symbol	Entrez Gene ID	GRCh37 Isoform	GRCh37 RefSeq	GRCh38 Isoform	GRCh38 RefSeq	Gene Type	# of occurrence within resources (Column J-P)	OncoKB Annotated	MSK-IMPACT	MSK-HEME	FOUNDATION ONE	FOUNDATION ONE HEME	Vogelstein	COSMIC CGC (v99)	Gene Aliases
ATP6V1B2	526	ENST00000276390	NM_001693.3	ENST00000276390	NM_001693.3	TSG	2	Yes	No	Yes	No	No	No	No	ATP6B2, HO57
ATXN2	6311	ENST00000377617	NM_002973.3	ENST00000550104	NM_002973.3	TSG	2	Yes	No	Yes	No	No	No	No	ATX2, SCA2, TNRC13
ATXN7	6314	ENST00000398590	NM_001177387.1	ENST00000522345		ONCOGENE	2	Yes	Yes	No	No	No	No	No	ADCAII, OPCA3, SCA7, SGF73
BACH2	60468	ENST00000257749	NM_001170794.1	ENST00000257749	NM_001170794.1	TSG	2	Yes	No	Yes	No	No	No	No	BTBD25
BCL11A	53335						2	No	No	No	No	Yes	No	Yes	BCL11A-L, BCL11A-S, BCL11A-XL, CTIP1, EVI9, HBFQTL5, ZNF856
BCL9L	283149	ENST00000334801	NM_182557.2	ENST00000683865	NM_001378213.1	ONCOGENE	2	Yes	No	No	No	No	No	Yes	B9L, Bcl9-2, DLNB11
BRD3	8019	ENST00000303407	NM_007371	ENST00000303407	NM_007371	ONCOGENE	2	Yes	No	No	No	No	No	Yes	KIAA0043, ORFX, RING3L
BRSK1	84446	ENST00000309383	NM_032430	ENST00000309383	NM_032430	TSG	2	Yes	No	No	No	Yes	No	No	KIAA1811
BUB1B	701	ENST00000287598	NM_001211.5	ENST00000287598	NM_001211.6	ONCOGENE	2	Yes	No	No	No	No	No	Yes	BUBR1, Bub1A, MAD3L, SSK1
CACNA1D	776	ENST00000350061	NM_001128840	ENST00000350061	NM_001128840	ONCOGENE	2	Yes	No	No	No	No	No	Yes	CACH3, CACN4, CACNL1A2, CCHL1A2, Cav1.3
CAD	790	ENST00000264705	NM_001306079	ENST00000264705	NM_001306079	ONCOGENE	2	Yes	No	No	No	Yes	No	No	GATD4
CANT1	124583	ENST00000302345	NM_001159772	ENST00000302345	NM_001159772	ONCOGENE	2	Yes	No	No	No	No	No	Yes	SCAN-1, SHAPY
CARS1	833						2	No	No	No	No	Yes	No	Yes	CARS
CBLB	868	ENST00000264122	NM_170662.3	ENST00000394030	NM_170662.5	TSG	2	Yes	No	No	No	No	No	Yes	Cbl-b, RNF56
CCN6	8838	ENST00000368666	NM_198239.1	ENST00000368666	NM_198239.1	ONCOGENE_AND_TSG	2	Yes	No	No	No	Yes	No	No	WISP-3, WISP3
CCNB1IP1	57820	ENST00000358932	NM_021178.4	ENST00000358932	NM_021178.5	INSUFFICIENT_EVIDENCE	2	Yes	No	No	No	No	No	Yes	C14orf18, HEI10
CD28	940	ENST00000324106	NM_006139.3	ENST00000324106	NM_006139.3	ONCOGENE	2	Yes	No	Yes	No	No	No	No	
CDH11	1009	ENST00000268603	NM_001797	ENST00000268603	NM_001797	ONCOGENE	2	Yes	No	No	No	No	No	Yes	CAD11
CDX2	1045						2	No	No	No	No	Yes	No	Yes	CDX3
CHCHD7	79145	ENST00000355315	NM_001011671.1	ENST00000355315	NM_001011671.3	INSUFFICIENT_EVIDENCE	2	Yes	No	No	No	No	No	Yes	COX23, MGC2217
CHD2	1106	ENST00000394196	NM_001271	ENST00000394196	NM_001271	TSG	2	Yes	No	No	No	Yes	No	No	DKFZp547I1315, DKFZp686E01200, DKFZp781D1727, FLJ38614
CHD4	1108	ENST00000357008	NM_001273	ENST00000544040	NM_001273	ONCOGENE	2	Yes	No	No	No	No	No	Yes	Mi-2b, Mi2-BETA
CILK1	22858	ENST00000350082	NM_014920.3	ENST00000676107	NM_014920.5	ONCOGENE	2	Yes	No	No	No	Yes	No	No	ICK, KIAA0936, LCK2, MGC46090
CLIP1	6249	ENST00000540338		ENST00000620786	NM_001247997.2	ONCOGENE	2	Yes	No	No	No	No	No	Yes	CLIP-170, CLIP170, CYLN1, RSN
CLTC	1213						2	No	No	No	No	Yes	No	Yes	CLTCL2, Hc
CMTR2	55783	ENST00000338099	NM_001099642.1	ENST00000338099	NM_001099642.1	TSG	2	Yes	Yes	No	No	No	No	No	AFT, FLJ11171, FTSJD1, MTr2
COL2A1	1280	ENST00000380518	NM_001844	ENST00000380518	NM_001844	TSG	2	Yes	No	No	No	No	No	Yes	AOM, SEDC, STL1
CRBN	51185	ENST00000231948	NM_016302.3	ENST00000231948	NM_016302.3	TSG	2	Yes	No	Yes	No	No	No	No	MRT2, MRT2A
CREB1	1385	ENST00000432329	NM_134442.3	ENST00000432329	NM_134442.3	ONCOGENE	2	Yes	No	No	No	No	No	Yes	
CREB3L1	90993						2	No	No	No	No	Yes	No	Yes	OASIS
CRTC1	23373	ENST00000321949	NM_015321.2	ENST00000321949	NM_015321.3	ONCOGENE	2	Yes	No	No	No	No	No	Yes	FLJ14027, KIAA0616, MECT1, TORC1
CTR9	9646	ENST00000361367	NM_014633.4	ENST00000361367	NM_014633.4	TSG	2	Yes	Yes	No	No	No	No	No	KIAA0155, SH2BP1, p150TSP
CUL4A	8451	ENST00000375440	NM_001008895	ENST00000375440	NM_001008895	ONCOGENE	2	Yes	No	No	Yes	No	No	No	
